Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
5797327.0,Said MECHAAL,50,Week 50 - No Data,0.0,0h 0m,0.0
5797327.0,Said MECHAAL,51,Week 51 - No Data,0.0,0h 0m,0.0
5797327.0,Said MECHAAL,52,Week 52 - No Data,0.0,0h 0m,0.0
6448444.0,Kate GRACE,45,Activities for 4 Nov 2024 - 10 Nov 2024,80.7,7h 13m,320.0
6448444.0,Kate GRACE,46,Activities for 11 Nov 2024 - 17 Nov 2024,32.8,2h 51m,225.0
6448444.0,Kate GRACE,47,Activities for 18 Nov 2024 - 24 Nov 2024,18.7,1h 33m,123.0
6448444.0,Kate GRACE,48,Activities for 25 Nov 2024 - 1 Dec 2024,21.5,1h 34m,76.0
6448444.0,Kate GRACE,49,Activities for 2 Dec 2024 - 8 Dec 2024,30.6,2h 21m,166.0
6448444.0,Kate GRACE,50,Activities for 9 Dec 2024 - 15 Dec 2024,34.2,2h 50m,175.0
6448444.0,Kate GRACE,51,Activities for 16 Dec 2024 - 22 Dec 2024,6.4,0h 29m,16.0
6448444.0,Kate GRACE,52,Activities for 23 Dec 2024 - 29 Dec 2024,16.7,2h 9m,141.0
6816684.0,Bastien AUGUSTO,45,Activities for 4 Nov 2024 - 10 Nov 2024,140.6,9h 44m,500.0
6816684.0,Bastien AUGUSTO,46,Activities for 11 Nov 2024 - 17 Nov 2024,119.9,8h 20m,550.0
6816684.0,Bastien AUGUSTO,47,Activities for 18 Nov 2024 - 24 Nov 2024,153.2,10h 46m,375.0
6816684.0,Bastien AUGUSTO,48,Activities for 25 Nov 2024 - 1 Dec 2024,171.1,11h 6m,843.0
6816684.0,Bastien AUGUSTO,49,Activities for 2 Dec 2024 - 8 Dec 2024,106.4,7h 48m,412.0
6816684.0,Bastien AUGUSTO,50,Activities for 9 Dec 2024 - 15 Dec 2024,127.1,8h 39m,405.0
6816684.0,Bastien AUGUSTO,51,Activities for 16 Dec 2024 - 22 Dec 2024,132.4,6h 50m,354.0
6816684.0,Bastien AUGUSTO,52,Activities for 23 Dec 2024 - 29 Dec 2024,164.9,11h 9m,999.0
6816684.0,Bastien AUGUSTO,45,Activities for 4 Nov 2024 - 10 Nov 2024,140.6,9h 44m,500.0
6816684.0,Bastien AUGUSTO,46,Activities for 11 Nov 2024 - 17 Nov 2024,119.9,8h 20m,550.0
6816684.0,Bastien AUGUSTO,47,Activities for 18 Nov 2024 - 24 Nov 2024,153.2,10h 46m,375.0
6816684.0,Bastien AUGUSTO,48,Activities for 25 Nov 2024 - 1 Dec 2024,171.1,11h 6m,843.0
6816684.0,Bastien AUGUSTO,49,Activities for 2 Dec 2024 - 8 Dec 2024,106.4,7h 48m,412.0
6816684.0,Bastien AUGUSTO,50,Activities for 9 Dec 2024 - 15 Dec 2024,127.1,8h 39m,405.0
6816684.0,Bastien AUGUSTO,51,Activities for 16 Dec 2024 - 22 Dec 2024,132.4,6h 50m,354.0
6816684.0,Bastien AUGUSTO,52,Activities for 23 Dec 2024 - 29 Dec 2024,164.9,11h 9m,999.0
4483415.0,Charlotte PURDUE,45,Week 45 - No Data,0.0,0h 0m,0.0
4483415.0,Charlotte PURDUE,46,Week 46 - No Data,0.0,0h 0m,0.0
4483415.0,Charlotte PURDUE,47,Week 47 - No Data,0.0,0h 0m,0.0
